Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation
518,Lechonk,0.00328,66,0.003,43,0.003,9
519,Cacnea,0.00323,65,0.003,60,0.004,3
520,Aipom,0.00318,64,0.003,37,0.002,2
521,Shroodle,0.00318,64,0.003,53,0.003,9
522,Gible,0.00318,64,0.003,60,0.004,4
523,Thwackey,0.00313,63,0.003,55,0.003,8
524,Turtwig,0.00298,60,0.003,56,0.004,4
525,Eelektrik,0.00293,59,0.003,53,0.003,5
526,Zorua-Hisui,0.00278,56,0.003,12,0.001,8
527,Krokorok,0.00273,55,0.003,44,0.003,5
528,Drowzee,0.00273,55,0.003,44,0.003,1
529,Gabite,0.00273,55,0.003,46,0.003,4
530,Spoink,0.00268,54,0.003,47,0.003,3
531,Sentret,0.00263,53,0.003,38,0.002,2
532,Geodude,0.00263,53,0.003,47,0.003,7
533,Smoliv,0.00258,52,0.003,29,0.002,9
534,Drifloon,0.00258,52,0.003,40,0.003,4
535,Meowth,0.00258,52,0.003,38,0.002,8
536,Raboot,0.00253,51,0.003,41,0.003,8
537,Quaxwell,0.00253,51,0.003,40,0.003,9
538,Tinkatink,0.00253,51,0.003,48,0.003,9
539,Mareanie,0.00248,50,0.002,39,0.002,7
540,Phione,0.00248,50,0.002,35,0.002,4
541,Rockruff,0.00248,50,0.002,41,0.003,7
542,Croagunk,0.00243,49,0.002,36,0.002,4
543,Brionne,0.00238,48,0.002,26,0.002,7
544,Monferno,0.00234,47,0.002,34,0.002,4
545,Seadra,0.00234,47,0.002,33,0.002,1
546,Shieldon,0.00229,46,0.002,40,0.003,4
547,Weepinbell,0.00229,46,0.002,25,0.002,1
548,Seedot,0.00224,45,0.002,35,0.002,3
549,Rowlet,0.00219,44,0.002,36,0.002,7
550,Dewott,0.00219,44,0.002,35,0.002,5
551,Cosmoem,0.00219,44,0.002,41,0.003,7
552,Charmander,0.00214,43,0.002,39,0.002,1
553,Oddish,0.00214,43,0.002,38,0.002,1
554,Sewaddle,0.00214,43,0.002,41,0.003,5
555,Pignite,0.00209,42,0.002,31,0.002,5
556,Sprigatito,0.00209,42,0.002,28,0.002,9
557,Snivy,0.00209,42,0.002,35,0.002,5
558,Litwick,0.00204,41,0.002,26,0.002,5
559,Quilava,0.00204,41,0.002,29,0.002,2
560,Fletchinder,0.00204,41,0.002,34,0.002,6
561,Snom,0.00204,41,0.002,30,0.002,8
562,Spinarak,0.00204,41,0.002,38,0.002,2
563,Greavard,0.00204,41,0.002,20,0.001,9
564,Hoppip,0.00204,41,0.002,38,0.002,2
565,Toedscool,0.00204,41,0.002,27,0.002,9
566,Chikorita,0.00199,40,0.002,25,0.002,2
567,Koffing,0.00194,39,0.002,35,0.002,1
568,Totodile,0.00189,38,0.002,31,0.002,2
569,Gothorita,0.00184,37,0.002,30,0.002,5
570,Pawmi,0.00184,37,0.002,14,0.001,9
571,Hippopotas,0.00179,36,0.002,31,0.002,4
